2020-06-14 00:07:14.848 security [restartedMain] INFO  c.jzrd.security.system.xss.XssFilter - ------------ xss filter init ------------
2020-06-14 00:07:15.193 security [restartedMain] INFO  c.b.d.d.DynamicRoutingDataSource - 动态数据源-检测到并开启了p6spy
2020-06-14 00:07:15.213 security [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - base - Starting...
2020-06-14 00:07:16.457 security [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - base - Start completed.
2020-06-14 00:07:16.458 security [restartedMain] INFO  c.b.d.d.DynamicRoutingDataSource - 初始共加载 1 个数据源
2020-06-14 00:07:16.458 security [restartedMain] INFO  c.b.d.d.DynamicRoutingDataSource - 动态数据源-加载 base 成功
2020-06-14 00:07:16.458 security [restartedMain] INFO  c.b.d.d.DynamicRoutingDataSource - 当前的默认数据源是单数据源，数据源名为 base
2020-06-14 00:07:20.626 security [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-06-14 00:07:20.628 security [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'febsAsyncThreadPool'
2020-06-14 00:07:20.668 security [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-06-14 00:07:21.012 security [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-06-14 00:07:21.123 security [restartedMain] INFO  c.jzrd.security.SecurityApplication - 自定义静态资源目录、此处功能用于文件映射
2020-06-14 00:07:21.820 security [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-06-14 00:07:21.854 security [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-06-14 00:07:21.919 security [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-06-14 00:07:22.475 security [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-9898"]
2020-06-14 00:07:22.758 security [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-06-14 00:07:22.771 security [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9898 (https) 8080 (http) with context path ''
2020-06-14 00:07:22.775 security [restartedMain] INFO  c.jzrd.security.SecurityApplication - Started SecurityApplication in 15.037 seconds (JVM running for 16.789)
2020-06-14 00:10:33.430 security [https-jsse-nio-9898-exec-4] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-14 00:10:33.431 security [https-jsse-nio-9898-exec-4] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-06-14 00:10:33.443 security [https-jsse-nio-9898-exec-4] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2020-06-14 00:10:39.259 security [https-jsse-nio-9898-exec-8] INFO  p6spy - 1592064639258|31|statement|connection 1|url jdbc:mysql://120.27.247.71:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT id, name AS userName, password, department FROM check_user WHERE name = ?|SELECT id, name AS userName, password, department FROM check_user WHERE name = 'admin'
2020-06-14 00:10:39.409 security [https-jsse-nio-9898-exec-3] INFO  p6spy - 1592064639409|31|statement|connection 2|url jdbc:mysql://120.27.247.71:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT id AS sheetId, name AS sheetName, order_no, remark FROM check_sheet|SELECT id AS sheetId, name AS sheetName, order_no, remark FROM check_sheet
2020-06-14 00:10:40.156 security [https-jsse-nio-9898-exec-5] INFO  p6spy - 1592064640155|31|statement|connection 3|url jdbc:mysql://120.27.247.71:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT COUNT(1) FROM check_result INNER JOIN check_entry ON check_result.entry_id = check_entry.id INNER JOIN check_sheet ON check_entry.sheet_id = check_sheet.id WHERE 1 = 1|SELECT COUNT(1) FROM check_result INNER JOIN check_entry ON check_result.entry_id = check_entry.id INNER JOIN check_sheet ON check_entry.sheet_id = check_sheet.id WHERE 1 = 1
